10.105.64.165,Open,    10.105.64.166,Closed,,,,,
10.105.64.166,Open,    10.105.64.167,Closed,,,,,
10.105.64.167,Open,    10.105.64.168,Closed,,,,,
10.105.64.168,Open,    10.105.64.169,Closed,,,,,
10.105.64.169,Open,    10.105.64.170,Closed,,,,,
10.105.64.170,Open,    10.105.64.171,Closed,,,,,
10.105.64.171,Open,    10.105.64.172,Closed,,,,,
10.105.64.172,Open,    10.105.64.173,Closed,,,,,
10.105.64.173,Open,    10.105.64.174,Closed,,,,,
10.105.64.174,Open,    10.105.64.175,Closed,,,,,
10.105.64.175,Open,    10.105.64.176,Closed,,,,,
10.105.64.176,Open,    10.105.64.177,Closed,,,,,
10.105.64.177,Closed,    10.105.64.178,Closed,,,,,
10.105.64.178,Open,    10.105.64.179,Closed,,,,,
10.105.64.179,Open,    10.105.64.180,Closed,,,,,
10.105.64.180,Open,    10.105.64.181,Closed,,,,,
10.105.64.181,Open,    10.105.64.182,Closed,,,,,
10.105.64.182,Open,    10.105.64.183,Closed,,,,,
10.105.64.183,Open,    10.105.64.184,Closed,,,,,
10.105.64.184,Open,    10.105.64.185,Closed,,,,,
10.105.64.185,Open,    10.105.64.186,Closed,,,,,
10.105.64.186,Open,    10.105.64.187,Closed,,,,,
10.105.64.187,Open,    10.105.64.188,Closed,,,,,
10.105.64.188,Open,    10.105.64.189,Closed,,,,,
10.105.64.189,Open,    10.113.240.81,Closed,,,,,
10.113.240.81,Open,    10.113.240.82,Closed,,,,,
10.113.240.82,Closed,    10.113.240.87,Closed,,,,,
10.113.240.87,Open,    10.113.240.83,Closed,,,,,
10.113.240.83,Open,    10.107.240.115,Closed,,,,,
10.107.240.115,Open,    10.107.240.114,Closed,,,,,
10.107.240.114,Open,    10.107.240.116,Closed,,,,,
10.107.240.116,Open,    10.107.240.89,Closed,,,,,
10.107.240.89,Open,    10.107.240.90,Closed,,,,,
10.107.240.90,Open,    10.107.240.126,Closed,,,,,
10.107.240.126,Open,    10.107.240.117,Closed,,,,,
10.107.240.117,Open,    10.107.240.118,Closed,,,,,
10.107.240.118,Open,    10.107.240.124,Closed,,,,,
10.107.240.124,Open,    10.108.26.10,Closed,,,,,
10.108.26.10,Open,    10.107.240.125,Closed,,,,,
10.107.240.125,Open,    10.107.240.122,Closed,,,,,
10.107.240.122,Open,    10.107.240.93,Closed,,,,,
10.107.240.93,Open,    10.107.240.70,Closed,,,,,
10.107.240.70,Open,    10.107.240.76,Closed,,,,,
10.107.240.76,Open,    10.107.240.66,Closed,,,,,
10.107.240.66,Open,    10.108.24.2,Closed,,,,,
10.108.24.2,Open,    10.107.240.77,Closed,,,,,
10.107.240.77,Open,    10.107.240.105,Closed,,,,,
10.107.240.105,Open,    10.107.250.120,Closed,,,,,
10.107.250.120,Closed,    10.107.240.108,Closed,,,,,
10.107.240.108,Open,    10.107.240.109,Closed,,,,,
10.107.240.109,Open,    10.107.240.110,Closed,,,,,
10.107.240.110,Open,    10.107.240.111,Closed,,,,,
10.107.240.111,Open,    10.107.240.107,Closed,,,,,
10.107.240.107,Open,    10.107.240.67,Closed,,,,,
10.107.240.67,Open,    10.107.240.104,Closed,,,,,
10.107.240.104,Open,    10.107.240.119,Closed,,,,,
10.107.240.119,Open,    10.107.240.78,Closed,,,,,
10.107.240.78,Open,    10.107.224.72,Closed,,,,,
10.107.224.72,Open,    10.107.224.69,Closed,,,,,
10.107.224.69,Closed,    10.107.224.108,Closed,,,,,
10.107.224.108,Open,    10.107.224.119,Closed,,,,,
10.107.224.119,Closed,    10.107.240.98,Closed,,,,,
10.107.240.98,Open,    10.107.240.99,Closed,,,,,
10.107.240.99,Open,    10.107.240.103,Closed,,,,,
10.107.240.103,Open,    10.107.224.80,Closed,,,,,
10.107.224.80,Open,    10.107.224.81,Closed,,,,,
10.107.224.81,Open,    10.107.224.86,Closed,,,,,
10.107.224.86,Open,    10.107.224.90,Closed,,,,,
10.107.224.90,Open,    10.107.224.67,Closed,,,,,
10.107.224.67,Open,    10.113.240.74,Closed,,,,,
10.113.240.74,Open,    10.113.240.75,Closed,,,,,
10.113.240.75,Open,    10.107.240.79,Closed,,,,,
10.107.240.79,Open,    10.69.192.79,Closed,,,,,
